UNIDAD OPERATIVA,PROVEEDOR,SERIAL,MARCA,MODELO,TIPO DE EQUIPO,OBSERVACIONES
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,MXL1243SMX,HP,HP 400 G7 PRODESK,COMPUTADORA DE ESCRITORIO INTERMEDIA,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,s/s,TECHZONE,CABLE 1.8M 3mm,CANDADO P/EQ. ESCRITORIO O PORTATIL,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,X89D0600075,EPSON,POWERLITE W60+,VIDEO PROYECTOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DG2,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DGW,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DFX,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DG4,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DH1,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DHL,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DGM,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DGH,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1171TJT,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1021137,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR102113B,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010HRS,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314QY,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314QV,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314R6,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314RZ,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010HS9,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR102112C,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010HR5,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314SN,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314ST,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314SX,HP,P24v G4 FHD Monitor US,MONITOR,
